District,Code,Representative,,Pronunciation,,Born,Religion,First,2014 US House,,Cook PVI,,2012 President,,,,2008 President,,,,2014 Two-Party,,2012 Two-Party,,2010 Census Adult Pop. Demographics,,,,,,Special Elections,,,2014 House Vote,,,,2012 House Vote,,Special Elections,,,2012 Presidential Election,,,2008 Presidential Election,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,,,,,2010 Census Adult Pop. Demographics,,,,,,2012 President,,,,Downballot Avg,,,Partisan Voting Index,,,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,,2012 President,,Downballot Average,
,,First Name,Last Name,Phonetic,IPA,,,Elected,Dem,Rep,,,Obama,Romney,12PVI,,Obama,McCain,08PVI,,Dem,Rep,Dem,Rep,White,Black,Hisp.,Asian,Native,Other,Dem,Rep,,Total,Dem,Rep,Other,Dem,Rep,Dem,Rep,raw CPVI,Obama,Romney,raw12PVI,Obama,McCain,raw08PVI,Total,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total,White (NH),Black (NH),Hispanic (any race),Asian and Pacific Islander (NH),Native American (NH),Other (NH),,,State,White,Black,Hisp.,Asian,Native,Other,Obama,Romney,12PVI,,Dem,Rep,,2012 raw,,Two-Party Vote,,District,Total,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total,White (NH),Black (NH),Hispanic (any race),Asian and Pacific Islander (NH),Native American (NH),Other (NH),Obama,Romney,Dem,Rep
Oregon 1st,OR-01,Suzanne,Bonamici,(soo-ZANN bahn-uh-MEE-chee),/su.'zæn ˌbɑ.nə.'mi.tʃi/,1954,Jewish,2012*,57.3%,34.5%,D+,7,58.9%,41.1%,D+,7,61.2%,38.8%,D+,8,62.4%,37.6%,64.3%,35.7%,77.9%,1.3%,11.0%,6.9%,0.7%,2.2%,,,320,"279,253","160,038","96,245","22,970",197845,109699,,,7.2,"201,028","140,410",6.9,"210,580","133,368",7.5,763897,565900,10694,104801,53082,4973,24447,576034,448707,7541,63396,40002,3779,12609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon 2nd,OR-02,Greg,Walden,(GREHG WAWL-duhn),/gɹɛg 'wɔl.dən/,1957,Episcopalian,1998,25.7%,70.4%,R+,10,41.6%,58.4%,R+,10,44.6%,55.4%,R+,9,26.7%,73.3%,29.8%,70.2%,85.3%,0.5%,9.5%,1.2%,1.8%,1.8%,,,321,"287,425","73,785","202,374","11,266",96741,228043,,,-9.8,"139,940","196,568",-10.4,"153,867","191,430",-9.1,765205,625841,3828,94603,8614,14507,17812,589203,502516,2865,55991,6780,10516,10535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon 3rd,OR-03,Earl,Blumenauer,(EARL BLOO-meh-now-er),/ɜɹl 'blu.mɛ.ˌnaʊ.əɹ/,1948,Protestant,1996*,72.3%,19.6%,D+,22,74.5%,25.5%,D+,23,75.0%,25.0%,D+,21,78.7%,21.3%,79.0%,21.0%,76.9%,4.7%,8.4%,6.6%,0.8%,2.7%,,,322,"292,757","211,748","57,424","23,585",264979,70325,,,21.9,"267,966","91,827",22.5,"275,349","91,804",21.3,765961,558539,39511,82254,51504,5828,28325,604077,464265,28470,50760,39674,4639,16269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon 4th,OR-04,Peter,DeFazio,(PEE-ter duh-FAH-zee-oh),/'pi.ɾəɹ də.'fɑ.zi.joʊ/,1947,Roman Catholic,1986,58.6%,37.6%,D+,2,53.5%,46.5%,D+,2,55.9%,44.1%,D+,2,60.9%,39.1%,60.2%,39.8%,88.3%,0.6%,5.2%,2.3%,1.1%,2.6%,,,323,"310,179","181,624","116,534","12,021",212866,140549,,,1.9,"188,563","163,931",1.5,"210,312","165,632",2.3,766771,659561,4904,51481,16819,9217,24789,613372,541488,3605,31795,13902,6938,15644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon 5th,OR-05,Kurt,Schrader,(KERT SHRAY-dur),/kɜɹt 'ʃɹeɪ.ɾəɹ/,1951,Episcopalian,2008,53.7%,39.3%,D+,0,51.7%,48.3%,R+,0,54.5%,45.5%,D+,1,57.8%,42.2%,56.0%,44.0%,81.8%,0.8%,11.7%,2.9%,1.0%,1.9%,,,324,"281,088","150,944","110,332","19,812",177229,139223,,,0.3,"172,991","161,439",-0.2,"187,183","156,240",0.8,769240,596007,6047,116923,22114,8181,19968,581935,475859,4465,67806,16678,5990,11137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 1st,PA-01,Bob,Brady,(BAHB BRAY-dee),/bɑb 'bɹeɪ.ɾi/,1945,Roman Catholic,1998*,82.8%,17.2%,D+,28,83.0%,17.0%,D+,31,79.3%,20.7%,D+,26,82.8%,17.2%,84.9%,15.1%,46.9%,31.7%,13.2%,6.5%,0.2%,1.6%,,,325,"158,441","131,248","27,193",0,235394,41708,,,28.3,"244,605","50,211",31.0,"245,500","64,135",25.6,705688,294705,241500,108518,44758,1356,14851,535939,251390,169661,70801,34581,1006,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 2nd,PA-02,Chaka,Fattah,(SHAH-kuh fuh-TAH),/'ʃɑ.kə fə.'tɑ/,1956,Baptist,1994,87.7%,12.3%,D+,38,91.0%,9.0%,D+,39,91.2%,8.8%,D+,38,87.7%,12.3%,90.5%,9.5%,32.0%,56.0%,4.8%,5.1%,0.3%,1.8%,,,326,"206,538","181,141","25,397",0,318176,33381,,,38.3,"338,543","33,525",39.0,"347,855","33,390",37.6,705689,201658,415882,38199,33031,1805,15114,557094,178257,311947,26752,28524,1416,10198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 3rd,PA-03,Mike,Kelly,(MIKE KELL-ee),/maɪk 'kɛ.li/,1948,Roman Catholic,2010,39.4%,60.6%,R+,8,43.6%,56.4%,R+,8,47.0%,53.0%,R+,7,39.4%,60.6%,42.8%,57.2%,93.0%,4.0%,1.4%,0.8%,0.1%,0.8%,,,327,"187,790","73,931","113,859",0,123933,165826,,,-7.5,"132,483","171,119",-8.3,"149,873","169,166",-6.7,705770,643914,31943,13262,5603,832,10216,549101,510627,21820,7727,4134,668,4125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 4th,PA-04,Scott,Perry,(SKAHT PAIR-ee),/skɑt 'pɛ.ɹi/,1962,Christian,2012,25.5%,74.5%,R+,9,42.1%,57.9%,R+,10,45.6%,54.4%,R+,8,25.5%,74.5%,36.6%,63.4%,85.6%,6.7%,4.8%,1.8%,0.2%,1.0%,,,328,"197,340","50,250","147,090",0,104643,181603,,,-9.0,"129,246","177,711",-9.9,"144,854","172,940",-8.1,705669,585038,51773,42341,13446,1052,12019,544246,465985,36227,25895,9954,839,5346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 5th,PA-05,Glenn,Thompson,(GLENN TAHMP-suhn),/glɛn 'tɑmp.sən/,1959,Protestant,2008,36.4%,63.6%,R+,8,42.1%,57.9%,R+,10,47.8%,52.2%,R+,6,36.4%,63.6%,37.1%,62.9%,93.8%,2.3%,1.5%,1.6%,0.1%,0.7%,,,329,"180,857","65,839","115,018",0,104725,177740,,,-7.9,"119,958","165,210",-9.9,"146,536","160,134",-5.9,705715,661706,14428,10951,10781,853,6996,566600,531432,12791,8501,9283,706,3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 6th,PA-06,Ryan,Costello,(RAHY-uhn kah-STELL-oh),/'ɹaɪ.ən kɑ.'stɛ.loʊ/,1976,Presbyterian,2014,43.7%,56.3%,R+,2,48.8%,51.2%,R+,3,53.6%,46.4%,R+,0,43.7%,56.3%,42.9%,57.1%,87.8%,3.9%,3.9%,3.5%,0.1%,0.8%,,,330,"212,544","92,901","119,643",0,143803,191725,,,-1.7,"165,916","174,379",-3.2,"186,460","161,570",-0.1,705799,606215,28546,33699,26634,677,10028,539084,473555,20806,21155,18635,528,4405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 7th,PA-07,Pat,Meehan,(PATT MEE-in),/pæt 'mi.ɪn/,1955,Roman Catholic,2010,38.0%,62.0%,R+,2,49.1%,50.9%,R+,3,51.7%,48.3%,R+,2,38.0%,62.0%,40.6%,59.4%,88.2%,4.7%,2.4%,3.8%,0.1%,0.8%,,,331,"235,125","89,256","145,869",0,143509,209942,,,-2.4,"177,252","183,955",-2.9,"192,275","179,384",-2.0,705677,614128,33645,19824,28353,639,9088,541045,477360,25469,12838,20671,490,4217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 8th,PA-08,Mike,Fitzpatrick,(MIKE fits-PAT-trick),/maɪk fɪts.'pæ.tʃɹɪk/,1963,Roman Catholic,"2010, 2004-2006",38.1%,61.9%,R+,1,50.0%,50.0%,R+,2,53.8%,46.2%,D+,0,38.1%,61.9%,43.4%,56.6%,88.4%,3.1%,3.5%,4.0%,0.1%,0.9%,,,332,"222,498","84,767","137,731",0,152859,199379,,,-0.9,"177,940","178,195",-2.0,"198,505","170,472",0.1,705689,612094,23508,29727,29433,846,10081,542944,479992,16607,19249,21619,642,4835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 9th,PA-09,Bill,Shuster,(BILL SHOO-ster),/bɪl 'ʃu.stəɹ/,1961,Lutheran,2001*,36.5%,63.5%,R+,14,36.3%,63.7%,R+,16,41.4%,58.6%,R+,12,36.5%,63.5%,38.3%,61.7%,94.6%,2.7%,1.4%,0.5%,0.1%,0.7%,,,333,"173,317","63,223","110,094",0,105128,169177,,,-13.9,"100,903","176,706",-15.6,"120,433","170,305",-12.3,705769,660880,19859,11910,3733,846,8541,556989,526955,15124,7539,2873,686,3812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 10th,PA-10,Tom,Marino,(TAHM muh-REE-noh),/tɑm mə.'ɹi.noʊ/,1952,Roman Catholic,2010,24.8%,62.6%,R+,12,39.0%,61.0%,R+,13,42.8%,57.2%,R+,11,28.4%,71.6%,34.4%,65.6%,92.5%,2.9%,2.9%,0.8%,0.2%,0.8%,,,334,"180,322","44,737","112,851","22,734",94227,179563,,,-11.9,"108,913","170,276",-13.0,"126,925","169,324",-10.8,705327,644796,21702,23818,5414,1143,8454,553619,512297,16251,15785,4163,935,4188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 11th,PA-11,Lou,Barletta,(LOO bar-LET-uh),/lu bɑɹ.'lɛ.ɾə/,1956,Roman Catholic,2010,33.7%,66.3%,R+,6,45.2%,54.8%,R+,7,47.7%,52.3%,R+,6,33.7%,66.3%,41.5%,58.5%,90.2%,4.2%,3.5%,1.2%,0.1%,0.8%,,,335,"184,692","62,228","122,464",0,118231,166967,,,-6.4,"130,411","157,834",-6.7,"145,211","159,469",-6.0,706322,622796,31920,32000,9175,791,9640,559032,504083,23584,19573,6820,631,4341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 12th,PA-12,Keith,Rothfus,(KEETH RAHTH-fus),/kiθ 'ɹɑθ.fəs/,1962,Roman Catholic,2012,40.7%,59.3%,R+,9,41.5%,58.5%,R+,11,45.3%,54.7%,R+,8,40.7%,59.3%,48.3%,51.7%,94.2%,2.9%,0.9%,1.3%,0.1%,0.6%,,,336,"215,921","87,928","127,993",0,163589,175352,,,-9.5,"141,906","200,365",-10.5,"161,241","195,077",-8.4,705698,656932,21563,7890,10402,602,8309,558549,526347,16041,5132,7224,455,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 13th,PA-13,Brendan,Boyle,(BREN-duhn BOYL),/'bɹɛn.dən bɔɪl/,1977,Roman Catholic,2014,67.1%,32.9%,D+,14,66.8%,33.2%,D+,15,66.0%,34.0%,D+,12,67.1%,32.9%,69.1%,30.9%,66.0%,15.5%,8.7%,8.1%,0.1%,1.5%,,,337,"184,150","123,601","60,549",0,209901,93918,,,13.6,"210,561","104,711",14.8,"217,661","112,243",12.3,705642,439009,120799,72198,57780,1101,14755,542293,357871,84320,47441,43833,784,8044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 14th,PA-14,Mike,Doyle,(MIKE DOYL),/maɪk dɔɪl/,1953,Roman Catholic,1994,100.0%,0%,D+,16,68.9%,31.1%,D+,17,67.7%,32.3%,D+,14,100%,0%,76.9%,23.1%,75.3%,18.9%,1.6%,2.7%,0.2%,1.4%,,,338,"148,351","148,351",0,0,251932,75702,,,15.5,"230,750","103,977",17.0,"245,432","116,994",14.0,705526,504934,151511,13002,17727,1089,17263,576561,433956,108743,9166,15481,896,8319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 15th,PA-15,Charlie,Dent,(CHAR-lee DENT),/'tʃɑɹ.li dɛnt/,1960,Presbyterian,2004,0%,100%,R+,2,48.5%,51.5%,R+,3,52.8%,47.2%,R+,1,0%,100%,43.2%,56.8%,83.0%,3.2%,10.4%,2.4%,0.1%,0.9%,,,339,"128,285",0,"128,285",0,128764,168960,,,-2.2,"147,239","156,170",-3.4,"165,836","148,385",-0.9,705554,559313,25933,91664,17602,797,10245,545594,452735,17611,56793,12972,588,4895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 16th,PA-16,Joe,Pitts,(JOH PITTS),/dʒoʊ pɪts/,1939,Protestant,1996,42.3%,57.7%,R+,4,46.9%,53.1%,R+,5,50.6%,49.4%,R+,3,42.3%,57.7%,41.6%,58.4%,78.5%,5.5%,13.2%,1.7%,0.1%,0.9%,,,340,"176,235","74,513","101,722",0,111185,156192,,,-4.1,"135,331","153,189",-5.1,"152,095","148,489",-3.1,705612,527104,40059,114018,12498,1010,10923,526440,413235,28925,69609,9088,765,4818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 17th,PA-17,Matt,Cartwright,(MATT KART-rite),/mæt 'kɑɹt.ɹaɪt/,1961,Roman Catholic,2012,56.8%,43.2%,D+,4,56.1%,43.9%,D+,4,57.6%,42.4%,D+,4,56.8%,43.2%,60.3%,39.7%,87.5%,4.5%,5.5%,1.5%,0.1%,0.9%,,,341,"165,051","93,680","71,371",0,161393,106208,,,4.0,"156,019","121,870",4.2,"174,446","128,440",3.9,705386,598290,35994,49022,10906,940,10234,554815,485267,25229,30461,8297,719,4842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania 18th,PA-18,Tim,Murphy,(TIM MUR-fee),/tɪm 'mɜɹ.fi/,1952,Roman Catholic,2002,0%,100.0%,R+,10,41.4%,58.6%,R+,11,44.2%,55.8%,R+,9,0%,100%,36.0%,64.0%,94.6%,2.3%,0.9%,1.5%,0.1%,0.6%,,,342,"166,076",0,"166,076",0,122146,216727,,,-10.0,"142,178","200,985",-10.5,"155,226","195,970",-9.5,705847,661140,16526,7617,11727,530,8307,560279,529932,12710,5004,8633,409,3591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island 1st,RI-01,David,Cicilline,(DAY-vid sih-sih-LEE-nee),/'deɪ.vɪd ˌsɪ.sɪ.'li.ni/,1961,Jewish,2010,59.5%,40.2%,D+,15,67.3%,32.7%,D+,15,67.7%,32.3%,D+,14,59.7%,40.3%,56.5%,43.5%,75.7%,5.8%,11.9%,3.0%,0.3%,3.3%,,,343,"146,353","87,060","58,877",416,108612,83737,,,14.7,"141,334","68,686",15.3,"150,363","71,764",14.0,525933,377374,33572,75650,15533,1791,22013,412614,312510,23909,48985,12193,1311,13706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island 2nd,RI-02,Jim,Langevin,(JIM LAN-juh-vin),/dʒɪm 'læn.dʒə.vɪn/,1964,Roman Catholic,2000,62.2%,37.6%,D+,8,61.0%,39.0%,D+,9,61.0%,39.0%,D+,7,62.3%,37.7%,61.3%,38.7%,83.7%,3.2%,8.6%,2.7%,0.4%,1.4%,,,344,"169,904","105,716","63,844",344,124067,78189,,,8.1,"138,343","88,518",9.0,"146,208","93,627",7.3,526634,426311,17988,55005,14760,2229,10341,415997,348313,13316,35730,11304,1622,5712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina 1st,SC-01,Mark,Sanford,(MARK SAN-ferd),/mɑɹk 'sæn.fəɹd/,1960,Episcopalian,"2013*, 1994-2000",0%,93.4%,R+,11,40.8%,59.2%,R+,11,43.2%,56.8%,R+,10,0%,100%,36.5%,63.5%,73.4%,17.8%,5.5%,1.8%,0.3%,1.2%,,,345,"127,815",0,"119,392","8,423",103557,179908,,,-10.8,"119,756","173,550",-11.1,"118,886","156,066",-10.4,650785,458423,124899,41893,11245,2070,12255,501866,368327,89421,27654,8860,1588,6016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina 2nd,SC-02,Joe,Wilson,(JOH WILL-suhn),/dʒoʊ 'wɪl.sən/,1947,Presbyterian,2001*,35.3%,62.4%,R+,13,40.0%,60.0%,R+,12,39.8%,60.2%,R+,14,36.1%,63.9%,0%,100%,70.5%,21.7%,4.6%,1.7%,0.4%,1.1%,,,346,"194,808","68,719","121,649","4,440",0,196116,,,-12.9,"113,338","170,005",-12.0,"112,547","169,885",-13.8,665499,451332,154392,34563,11108,2360,11744,504664,356012,109536,23009,8505,1834,5768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina 3rd,SC-03,Jeff,Duncan,(JEFF DUHN-kin),/dʒɛf 'dʌŋ.kɪn/,1966,Southern Baptist,2010,28.8%,71.2%,R+,18,34.5%,65.5%,R+,17,35.6%,64.4%,R+,18,28.8%,71.2%,33.3%,66.7%,77.0%,17.8%,3.5%,0.8%,0.2%,0.7%,,,347,"164,009","47,181","116,741",87,84735,169512,,,-17.8,"89,494","170,173",-17.5,"93,525","169,190",-18.1,660789,494909,122916,27845,5225,1367,8527,510519,392896,90929,17740,4093,1091,3770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina 4th,SC-04,Trey,Gowdy,(CHRAY GOW-dee) [OW as in cow],/tʃɹeɪ 'gaʊ.ɾi/,1964,Southern Baptist,2010,0%,84.8%,R+,15,36.8%,63.2%,R+,15,38.4%,61.6%,R+,15,0%,100%,34.2%,65.8%,72.6%,18.0%,6.3%,2.0%,0.2%,0.9%,,,348,"149,049",0,"126,452","22,597",89964,173201,,,-15.2,"99,387","170,679",-15.2,"102,178","164,088",-15.3,661218,462755,124400,48816,13999,1306,9942,501815,364448,90394,31395,10134,1014,4430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina 5th,SC-05,Mick,Mulvaney,(MICK muhl-VAY-nee),/mɪk məl.'veɪ.nee/,1967,Roman Catholic,2010,41.1%,58.9%,R+,9,44.2%,55.8%,R+,8,44.4%,55.6%,R+,9,41.1%,58.9%,44.4%,55.6%,68.2%,26.4%,3.1%,1.0%,0.4%,0.8%,,,349,"175,145","71,985","103,078",82,123443,154324,,,-8.5,"124,832","157,710",-7.8,"120,264","150,734",-9.3,660216,435695,180407,24958,6535,3008,9613,498138,339933,131638,15457,4837,2094,4179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina 6th,SC-06,James,Clyburn,(JAYMZ KLAHY-bern),/dʒeɪmz 'kla.bəɹn/,1940,African Methodist,1992,72.5%,25.5%,D+,18,71.6%,28.4%,D+,20,70.8%,29.2%,D+,17,73.9%,26.1%,100%,0%,39.1%,54.4%,4.1%,1.1%,0.4%,0.9%,,,350,"173,432","125,747","44,311","3,374",218717,0,,,18.4,"195,131","77,299",19.7,"191,945","79,266",17.1,665721,239031,377877,31149,6676,2354,8634,514995,201500,279964,21343,5585,1837,4766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina 7th,SC-07,Tom,Rice,(TAHM RICE),/tɑm ɹaɪs/,1957,Episcopalian,2012,40.0%,60.0%,R+,7,44.9%,55.1%,R+,7,45.8%,54.2%,R+,8,40.0%,60.0%,44.4%,55.6%,66.8%,27.5%,3.4%,0.8%,0.6%,0.8%,,,351,"171,524","68,576","102,833",115,122389,153068,,,-7.5,"124,002","152,230",-7.1,"123,103","145,666",-7.9,661136,420595,195107,26458,5632,4149,9195,512893,342651,141010,17578,4244,3155,4255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota At-Large,SD-AL,Kristi,Noem,(KRISS-tee NOHM),/'kɹɪ.sti noʊm/,1971,Evangelical,2010,33.5%,66.5%,R+,10,40.8%,59.2%,R+,11,45.7%,54.3%,R+,8,33.5%,66.5%,42.6%,57.4%,87.8%,1.0%,2.1%,0.9%,6.9%,1.1%,,,352,"276,319","92,485","183,834",0,153789,207640,,,-9.6,"145,039","210,610",-11.2,"170,924","203,054",-8.0,814180,689502,9959,22119,7866,69476,15258,611383,537069,6377,12917,5759,42323,6938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee 1st,TN-01,Phil,Roe,(FILL ROH),/fɪl ɹoʊ/,1945,Methodist,2008,0%,82.8%,R+,25,26.1%,73.9%,R+,26,29.1%,70.9%,R+,25,0%,100%,20.7%,79.3%,93.7%,2.1%,2.5%,0.6%,0.2%,0.8%,,,353,"139,470",0,"115,533","23,937",47663,182252,,,-25.3,"65,770","186,323",-25.9,"77,079","188,237",-24.6,706717,653702,15054,22775,4654,1684,8848,557064,521859,11541,14150,3521,1390,4603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee 2nd,TN-02,John,Duncan,(JAHN DUHN-kuhn),/dʒɑn 'dʌŋ.kən/,1947,Presbyterian,1988*,22.6%,72.5%,R+,20,31.5%,68.5%,R+,21,35.0%,65.0%,R+,19,23.7%,76.3%,21.7%,78.3%,88.9%,5.7%,2.8%,1.4%,0.3%,1.0%,,,354,"166,751","37,612","120,883","8,256",54522,196894,,,-19.6,"85,522","186,355",-20.5,"101,603","188,283",-18.6,702769,613371,42845,23843,9890,1771,11049,549646,488678,31323,15212,7504,1402,5527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee 3rd,TN-03,Chuck,Fleischmann,(CHUCK FLAHY-shmin),/tʃʌk 'flaɪ.ʃmɪn/,1962,Christian,2010,34.6%,62.4%,R+,16,35.6%,64.4%,R+,16,37.8%,62.2%,R+,16,35.7%,64.3%,36.6%,63.4%,84.9%,10.1%,2.6%,1.1%,0.3%,1.0%,,,355,"156,097","53,983","97,344","4,770",91094,157830,,,-16.1,"95,262","171,967",-16.3,"106,560","175,163",-15.9,705326,586894,75983,22228,7957,1929,10335,550020,466957,55693,14272,6054,1567,5477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee 4th,TN-04,Scott,DesJarlais,(SKAHT DAY-zher-lay),/skɑt 'deɪ.ʒəɹ.leɪ/,1964,Episcopalian,2010,35.3%,58.3%,R+,18,33.6%,66.4%,R+,18,36.4%,63.6%,R+,17,37.7%,62.3%,44.2%,55.8%,85.2%,7.7%,4.4%,1.5%,0.3%,1.0%,,,356,"145,418","51,357","84,815","9,246",102022,128568,,,-17.8,"86,058","169,824",-18.3,"97,643","170,600",-17.3,706861,586940,56789,38525,10760,2088,11759,534051,454758,41181,23364,7807,1650,5291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee 5th,TN-05,Jim,Cooper,(JIM KOO-per) [Rhymes with Booker],/dʒɪm 'kʊ.pəɹ/,1954,Episcopalian,"2002, 1982-1994",62.3%,35.7%,D+,5,56.8%,43.2%,D+,5,58.2%,41.8%,D+,5,63.6%,36.4%,66.6%,33.4%,65.0%,23.1%,7.5%,2.7%,0.3%,1.4%,,,357,"154,276","96,148","55,078","3,050",171621,86240,,,4.7,"152,960","116,289",4.8,"170,190","122,232",4.5,702181,429033,174518,63349,19481,1684,14116,547011,355749,126434,41046,14934,1419,7429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee 6th,TN-06,Diane,Black,(DIE-ann BLACK),/'daɪ.æn blæk/,1951,Lutheran,2010,23.0%,71.1%,R+,21,29.9%,70.1%,R+,22,34.0%,66.0%,R+,20,24.4%,75.6%,0%,100%,91.5%,3.8%,2.9%,0.7%,0.3%,0.8%,,,358,"162,097","37,232","115,231","9,634",0,184383,,,-20.9,"82,276","192,602",-22.0,"97,072","188,258",-19.7,708141,638135,28183,25490,5357,1970,9006,539694,493996,20355,15497,3880,1570,4396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee 7th,TN-07,Marsha,Blackburn,(MAR-shuh BLACK-burn),/'mɑɹ.ʃə 'blæk.bəɹn/,1952,Presbyterian,2002,26.8%,70.0%,R+,18,33.4%,66.6%,R+,19,36.8%,63.2%,R+,17,27.7%,72.3%,25.2%,74.8%,84.3%,9.4%,3.3%,1.5%,0.3%,1.2%,,,359,"157,907","42,280","110,534","5,093",61679,182730,,,-17.7,"92,081","183,782",-18.6,"103,884","178,286",-16.9,703960,581125,67578,28766,10908,2182,13401,522321,440345,49038,17362,7856,1709,6011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee 8th,TN-08,Stephen,Fincher,(STEE-vuhn FINN-cher),/'sti.vən 'fɪn.tʃəɹ/,1973,United Methodist,2010,24.6%,70.8%,R+,19,33.2%,66.8%,R+,19,35.3%,64.7%,R+,18,25.8%,74.2%,29.4%,70.6%,76.7%,18.6%,2.2%,1.5%,0.2%,0.8%,,,360,"172,595","42,433","122,255","7,907",79490,190923,,,-18.6,"100,140","201,555",-18.8,"110,590","203,070",-18.4,704834,526413,137108,18977,11644,1579,9113,533039,408794,99058,11720,8185,1232,4050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee 9th,TN-09,Steve,Cohen,(STEEV KOH-wuhn),/stiv 'koʊ.ən/,1949,Jewish,2006,75.0%,23.3%,D+,25,78.9%,21.1%,D+,27,77.4%,22.6%,D+,24,76.3%,23.7%,75.9%,24.1%,30.2%,61.1%,5.7%,1.8%,0.2%,0.9%,,,361,"116,550","87,376","27,173","2,001",188422,59742,,,25.3,"200,640","53,633",26.9,"222,816","65,047",23.7,705316,185169,451333,46106,12427,1415,8866,517258,156441,316030,29383,9564,1066,4774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 1st,TX-01,Louie,Gohmert,(LOO-ee GOH-mert),/'lu.i 'goʊ.məɹt/,1953,Southern Baptist,2004,22.5%,77.5%,R+,24,27.8%,72.2%,R+,24,30.7%,69.3%,R+,23,22.5%,77.5%,27.4%,72.6%,68.3%,17.2%,12.3%,0.9%,0.4%,0.9%,,,362,"148,560","33,476","115,084",0,67222,178322,,,-23.6,"69,858","181,835",-24.2,"78,918","178,520",-23.0,697653,449361,122388,108031,6394,2514,8965,523109,357220,90056,64595,4739,1984,4515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
