,ALAND,AWATER,CD113FP,CDSESSN,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAMELSAD,STATEFP,AREA,PERIMETER,COMPACTNESS
27,3017827353,9715354,22,113,N,0622,+36.4768606,-119.3895513,C2,G5200,Congressional District 22,06,0.3044812314314542,4.719326187101474,0.17179
28,1218098754,68669721,03,113,N,0903,+41.3853723,-072.8773810,C2,G5200,Congressional District 3,09,0.13850769059693768,2.985235474749782,0.19531
29,1193386218,214372913,04,113,N,0904,+41.1968011,-073.3885143,C2,G5200,Congressional District 4,09,0.15110829803297543,2.4660317769090256,0.31225
30,3232865218,87427262,05,113,N,0905,+41.6943231,-073.2099985,C2,G5200,Congressional District 5,09,0.3590905042144802,4.422782807943215,0.23069
31,15679342933,413537389,08,113,N,4808,+30.8332685,-095.5435951,C2,G5200,Congressional District 8,48,1.5170881109226706,9.107763026195574,0.22982
32,9542206015,2192751051,01,113,N,5101,+37.8454784,-076.9116127,C2,G5200,Congressional District 1,51,1.2015326841664575,9.23691541357583,0.17697
33,695454648,628668917,01,113,N,4401,+41.6306771,-071.3286718,C2,G5200,Congressional District 1,44,0.1431012731179541,2.588346438293079,0.26842
34,590544381,11252158,03,113,N,3903,+39.9662072,-082.9474950,C2,G5200,Congressional District 3,39,0.06343872204651754,3.769015417013139,0.05612
35,5884361848,76780934,12,113,N,3912,+40.2393230,-082.6136769,C2,G5200,Congressional District 12,39,0.6308776097224404,7.630063608104967,0.13618
36,14840775237,94924674,09,113,N,4209,+40.1415784,-078.6736544,C2,G5200,Congressional District 9,42,1.578521800873725,12.373977142536088,0.12955
37,201791655,31173362,01,113,N,4201,+39.9277355,-075.2142852,C2,G5200,Congressional District 1,42,0.024544818054006594,2.011892201143617,0.0762
38,2233978144,21273828,07,113,N,4207,+39.8980922,-075.9217800,C2,G5200,Congressional District 7,42,0.23800508409544088,8.701231322405485,0.0395
39,1852086752,23656943,13,113,N,1313,+33.6298272,-084.5687751,C2,G5200,Congressional District 13,13,0.18226058379202612,3.790726801425834,0.15939
40,687353915,666046393,14,113,N,1214,+27.8336178,-082.5127178,C2,G5200,Congressional District 14,12,0.12397610062157405,2.4953195259779344,0.2502
41,2290253026,476460609,12,113,N,1212,+28.2686774,-082.4917862,C2,G5200,Congressional District 12,12,0.25444536363156256,2.8671467110250886,0.38896
42,481827522,600730872,13,113,N,1213,+27.8661855,-082.7484053,C2,G5200,Congressional District 13,12,0.09919802449701753,1.6797399293129638,0.4418
43,6493534280,1789451640,06,113,N,1206,+29.4576319,-081.3518251,C2,G5200,Congressional District 6,12,0.7703209534911613,6.098105061738968,0.26031
44,5060008431,3734236079,14,113,N,3914,+41.7516375,-081.0181027,C2,G5200,Congressional District 14,39,0.952016936741986,5.8724845119515265,0.34691
45,4489067831,59176497,17,113,N,4217,+40.8854972,-075.7970882,C2,G5200,Congressional District 17,42,0.4859601553279877,8.844152461674389,0.07807
46,8498880401,7470749414,02,113,N,2602,+43.3975406,-086.3188626,C2,G5200,Congressional District 2,26,1.774342856411444,7.219717690541347,0.42777
47,20682000558,2447457492,01,113,N,1301,+31.3174384,-081.9425449,C2,G5200,Congressional District 1,13,2.1916208831442354,11.205996418061627,0.21932
48,20834364180,2213376508,04,113,N,2804,+30.9941864,-089.0903341,C2,G5200,Congressional District 4,28,2.1764913277199054,8.222340841645819,0.40455
49,1085511432,55747042,11,113,N,2611,+42.5300018,-083.4539962,C2,G5200,Congressional District 11,26,0.12505122524392515,3.185983637908887,0.15481
50,1792017120,48834168,04,113,N,3404,+40.1653130,-074.3167410,C2,G5200,Congressional District 4,34,0.19460872960898526,3.3284628584461995,0.22074
51,558433891,502932439,06,113,N,3406,+40.3549202,-074.2026491,C2,G5200,Congressional District 6,34,0.1126209502354822,3.2239638043258307,0.13616
52,5419960974,2031578174,02,113,N,3402,+39.3926472,-074.9086734,C2,G5200,Congressional District 2,34,0.779242400317566,5.308573188931456,0.34748
53,16498757811,1870498309,17,113,N,1217,+27.3174741,-081.5482955,C2,G5200,Congressional District 17,12,1.6749102296669338,7.79860426711663,0.34607
54,1943129639,1597411456,19,113,N,1219,+26.4316160,-081.9067394,C2,G5200,Congressional District 19,12,0.320363005100471,3.623090989492087,0.30669
55,8509756400,4736024887,01,113,N,2301,+43.8304074,-069.9408789,C2,G5200,Congressional District 1,23,1.4824435035830885,10.58708024990513,0.1662
56,9941251623,209789919,03,113,N,1303,+33.1505217,-084.7286640,C2,G5200,Congressional District 3,13,0.981048816418092,6.589989140587643,0.28388
57,491040131,7081108,01,113,N,0801,+39.7322859,-104.9087582,C2,G5200,Congressional District 1,08,0.052333873166990556,2.6381478032918504,0.09449
58,885996668,25114102,07,113,N,0807,+39.8261495,-105.0422237,C2,G5200,Congressional District 7,08,0.09585160935395948,2.9544826568848856,0.13799
59,10290387280,3222827534,27,113,N,3627,+43.0008504,-078.3168825,C2,G5200,Congressional District 27,36,1.4918354985805908,8.001142969968381,0.29284
60,1321403917,1831738123,25,113,N,3625,+43.3302569,-077.7313883,C2,G5200,Congressional District 25,36,0.3499603743985127,2.9100444368037435,0.51931
61,71374035018,7014298014,02,113,N,2302,+45.4804487,-069.0561144,C2,G5200,Congressional District 2,23,9.026600351474718,19.554437305634863,0.29665
62,85126246360,450252881,08,113,N,0608,+35.6625568,-116.8195456,C2,G5200,Congressional District 8,06,8.521353143195697,19.78599235892319,0.27353
63,6013919704,277823383,02,113,N,4702,+36.0503257,-083.8211985,C2,G5200,Congressional District 2,47,0.6292883716787963,8.544386485338046,0.10832
64,6087288902,129395582,01,113,N,2501,+42.3310362,-072.8641678,C2,G5200,Congressional District 1,25,0.6789440360064752,5.452101459657186,0.28702
65,4216565103,221665702,02,113,N,2502,+42.3850416,-072.1186908,C2,G5200,Congressional District 2,25,0.48519649292101164,4.823819947023098,0.26203
66,2452991942,548889272,03,113,N,5103,+37.2135279,-076.9511350,C2,G5200,Congressional District 3,51,0.30472186825677816,6.842379954292877,0.08179
67,170515938,126197973,11,113,N,3611,+40.5669743,-074.1263136,C2,G5200,Congressional District 11,36,0.03155310946897932,0.9489265894829738,0.44034
68,17956337592,339201156,17,113,N,1717,+41.3894669,-090.2186532,C2,G5200,Congressional District 17,17,1.9697305746962717,11.482408248038698,0.18774
69,1803015015,329878145,18,113,N,0618,+37.2021322,-122.1537117,C2,G5200,Congressional District 18,06,0.2164843840594849,3.4659188784939228,0.22646
70,12624166135,1574866867,20,113,N,0620,+36.3732865,-121.2752181,C2,G5200,Congressional District 20,06,1.425983722240949,6.722429725301955,0.39653
71,15713054160,2275852112,01,113,N,0101,+31.0020519,-087.7879717,C2,G5200,Congressional District 1,01,1.6991773075161636,11.56301419285223,0.1597
72,633326831,1310790296,11,113,N,3911,+41.6132500,-081.5310366,C2,G5200,Congressional District 11,39,0.21012882165288937,4.3105997971602505,0.14211
73,14572561099,72211019,05,113,N,3905,+41.1557510,-084.0447886,C2,G5200,Congressional District 5,39,1.5710382610037077,7.96355325152226,0.3113
74,2782938217,82841835,03,113,N,4103,+45.3998310,-122.2286787,C2,G5200,Congressional District 3,41,0.329291278091984,4.307230789684703,0.22305
75,13441088909,1207395904,05,113,N,4105,+45.0283647,-123.1951639,C2,G5200,Congressional District 5,41,1.672342667633339,12.249023363229194,0.14007
76,861287612,84509184,04,113,N,2704,+45.0027128,-092.9773663,C2,G5200,Congressional District 4,27,0.10794197100846527,1.6057693897835446,0.52606
